date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:30:21	1558871/1558871	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Oct%202021%2012:45:37%20GMT	https://tokenoid.io/assets/js/web3.min.js	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/js/web3.min.js	(from https://tokenoid.io/)
07:30:22	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2006%20Dec%202018%2010:58:04%20GMT	https://tokenoid.io/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://tokenoid.io/assets/css/font-awesome.min.css)
07:30:22	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20Dec%202018%2010:58:06%20GMT	https://tokenoid.io/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/fonts/fontawesome-webfontd41d.eot	(from https://tokenoid.io/assets/css/font-awesome.min.css)
07:30:24	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2006%20Dec%202018%2010:58:04%20GMT	https://tokenoid.io/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/fonts/fontawesome-webfont3e6e.woff	(from https://tokenoid.io/assets/css/font-awesome.min.css)
07:30:25	444387/444387	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Dec%202018%2010:58:06%20GMT	https://tokenoid.io/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/fonts/fontawesome-webfont3e6e.svg	(from https://tokenoid.io/assets/css/font-awesome.min.css)
07:30:25	102/102	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Oct%202021%2005:24:20%20GMT	https://tokenoid.io/assets/images/bg-lines.png	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/bg-lines.png	(from https://tokenoid.io/assets/css/style.css)
07:30:25	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2006%20Dec%202018%2010:58:06%20GMT	https://tokenoid.io/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://tokenoid.io/assets/css/font-awesome.min.css)
07:30:27	91570/91570	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/pattern-bg.svg	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/pattern-bg.svg	(from https://tokenoid.io/assets/css/style.css)
07:30:28	5136036/5136036	---M--	200	added ('OK')	video/mp4	date:Sat,%2016%20Oct%202021%2017:17:04%20GMT	https://tokenoid.io/assets/videos/bgvideo.mp4	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/videos/bgvideo.mp4	(from https://tokenoid.io/)
07:30:29	1069578/1069578	---M--	200	added ('OK')	image/gif	date:Wed,%2027%20Oct%202021%2005:24:23%20GMT	https://tokenoid.io/assets/images/bg-noise.gif	C:/My%20Web%20Sites/tokenoid/tokenoid.io/assets/images/bg-noise.gif	(from https://tokenoid.io/assets/css/style.css)
